NORMALS 1961-90		YRS	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANN
ABERDEEN	SD	30	0.37	0.47	1.34	1.95	2.41	3.15	2.75	2.13	1.86	1.12	0.59	0.41	18.55
ABILENE	TX	30	1.03	1.16	1.36	1.90	2.97	2.86	2.09	2.80	3.21	2.51	1.48	1.03	24.40
AKRON	OH	30	2.16	2.23	3.33	3.16	3.73	3.18	4.08	3.32	3.32	2.35	3.01	2.95	36.82
ALAMOSA	CO	30	0.26	0.29	0.45	0.49	0.64	0.67	1.19	1.12	0.89	0.70	0.43	0.44	7.57
ALBANY	NY	30	2.36	2.27	2.93	2.99	3.41	3.62	3.18	3.47	2.95	2.83	3.23	2.93	36.17
ALBUQUERQUE	NM	30	0.44	0.46	0.54	0.52	0.50	0.59	1.37	1.64	1.00	0.89	0.43	0.50	8.88
ALLENTOWN	PA	30	3.16	2.95	3.28	3.52	4.20	3.75	4.14	4.28	3.93	2.94	3.88	3.49	43.52
ALPENA	MI	30	1.64	1.29	2.11	2.25	2.74	3.04	2.92	3.40	3.11	2.10	2.20	2.03	28.83
AMARILLO	TX	30	0.50	0.61	0.96	0.99	2.48	3.70	2.62	3.22	1.99	1.37	0.69	0.43	19.56
ANCOAGE	AK	30	0.79	0.78	0.69	0.67	0.73	1.14	1.71	2.44	2.70	2.03	1.11	1.12	15.91
ANNETTE	AK	30	10.07	8.79	7.89	7.79	6.03	4.67	4.27	6.15	9.28	15.47	11.67	11.20	103.28
APALACHICOLA	FL	30	3.90	3.79	4.25	2.72	2.67	4.55	7.35	7.50	7.54	3.40	3.20	4.08	54.95
ASHEVILLE	NC	30	3.25	3.91	4.63	3.36	4.43	4.23	4.52	4.69	3.87	3.59	3.59	3.52	47.59
ASTORIA	OR	30	10.00	7.59	7.07	4.60	3.02	2.40	1.15	1.33	2.91	5.73	10.05	10.55	66.40
ATHENS	GA	30	4.60	4.42	5.46	3.99	4.37	3.93	4.88	3.70	3.36	3.28	3.66	4.09	49.74
ATLANTA	GA	30	4.75	4.81	5.77	4.26	4.29	3.56	5.01	3.66	3.42	3.05	3.86	4.33	50.77
ATLANTIC CITY AP	NJ	30	3.46	3.06	3.62	3.56	3.33	2.64	3.83	4.14	2.93	2.82	3.58	3.32	40.29
ATLANTIC CITY CO	NJ	30	3.27	3.02	3.36	3.25	2.96	2.56	3.31	3.84	2.65	2.40	3.19	3.29	37.10
AUGUSTA	GA	30	4.05	4.27	4.65	3.31	3.77	4.13	4.24	4.50	3.02	2.84	2.48	3.40	44.66
AUSTIN	TX	30	1.71	2.17	1.87	2.56	4.78	3.72	2.04	2.05	3.30	3.43	2.37	1.88	31.88
AVOCA	PA	30	2.10	2.15	2.55	2.97	3.65	3.98	3.79	3.32	3.31	2.79	3.06	2.51	36.18
BAKERSFIELD	CA	30	0.86	1.06	1.04	0.57	0.20	0.10	0.01	0.09	0.17	0.29	0.70	0.63	5.72
